venta_id,fecha,marca,categoria,producto,preciounitario,precioventafinalunitario,cantidadvendida,totalventa
1,2024-07-22 17:49:02,HP,Impresora,HP LaserJet Pro MFP,$300.00,$341.00,1,$341.00
2,2025-02-11 17:49:02,Lenovo,Desktop,Lenovo IdeaCentre 3,$560.00,$619.00,4,"$2,476.00"
3,2024-10-17 17:49:02,Cisco,Red,Cisco RV340,$170.00,$221.00,4,$884.00
4,2024-12-29 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3070,$600.00,$656.00,2,"$1,312.00"
5,2025-04-21 17:49:02,HyperX,Accesorio,HyperX Cloud II,$100.00,$154.00,4,$616.00
6,2024-12-25 17:49:02,HP,Desktop,HP EliteDesk 800,$680.00,$729.00,1,$729.00
7,2025-04-26 17:49:02,Crucial,Componentes,Crucial MX500 SSD 1TB,$110.00,$176.00,1,$176.00
8,2024-11-07 17:49:02,Epson,Impresora,Epson EcoTank ET-4760,$350.00,$417.00,5,"$2,085.00"
9,2024-12-06 17:49:02,Linksys,Red,Linksys Velop,$230.00,$298.00,3,$894.00
10,2024-10-20 17:49:02,Cisco,Red,Cisco RV340,$170.00,$233.00,4,$932.00
11,2024-09-15 17:49:02,Razer,Accesorio,Razer DeathAdder V2,$70.00,$121.00,1,$121.00
12,2025-02-15 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$255.00,3,$765.00
13,2024-08-07 17:49:02,Acer,Desktop,Acer Veriton X,$550.00,$597.00,1,$597.00
14,2024-10-31 17:49:02,SteelSeries,Accesorio,SteelSeries Arctis 7,$150.00,$192.00,3,$576.00
15,2025-02-22 17:49:02,LG,Monitor,LG 27UL850,$400.00,$445.00,1,$445.00
16,2024-08-23 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$262.00,5,"$1,310.00"
17,2024-10-08 17:49:02,Acer,Monitor,Acer R240HY,$200.00,$258.00,1,$258.00
18,2024-08-19 17:49:02,Apple,Tablet,iPad Pro 11,$800.00,$855.00,2,"$1,710.00"
19,2025-01-12 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3080,$800.00,$850.00,1,$850.00
20,2024-09-17 17:49:02,Amazon,Tablet,Fire HD 10,$150.00,$198.00,2,$396.00
21,2024-10-10 17:49:02,Razer,Accesorio,Razer Kraken Tournament,$130.00,$198.00,1,$198.00
22,2025-05-27 17:49:02,MSI,Desktop,MSI Cubi 5,$620.00,$691.00,1,$691.00
23,2024-12-14 17:49:02,Lenovo,Monitor,Lenovo ThinkVision T24i-10,$230.00,$285.00,3,$855.00
24,2025-01-13 17:49:02,D-Link,Red,D-Link COVR-1102,$190.00,$262.00,5,"$1,310.00"
25,2025-05-25 17:49:02,NVIDIA,Componente,NVIDIA GeForce GTX 1660 Super,$250.00,$308.00,1,$308.00
26,2024-11-06 17:49:02,AMD,Componente,AMD Radeon RX 6800,$700.00,$780.00,4,"$3,120.00"
27,2024-10-03 17:49:02,Netgear,Red,Netgear Nighthawk,$120.00,$196.00,5,$980.00
28,2024-09-21 17:49:02,ASUS,Tablet,Asus ZenPad 10,$350.00,$427.00,5,"$2,135.00"
29,2024-11-22 17:49:02,Lenovo,Laptop,Lenovo ThinkPad E15,$900.00,$944.00,5,"$4,720.00"
30,2024-12-18 17:49:02,Lenovo,Desktop,Lenovo IdeaCentre 3,$560.00,$632.00,4,"$2,528.00"
31,2025-03-29 17:49:02,HP,Tablet,HP Chromebook x2,$400.00,$447.00,1,$447.00
32,2024-07-10 17:49:02,Lenovo,Accesorio,Lenovo Preferred Pro,$50.00,$102.00,2,$204.00
33,2025-06-04 17:49:02,Logitech,Accesorio,Logitech G502,$90.00,$134.00,1,$134.00
34,2024-09-04 17:49:02,Lenovo,Laptop,Lenovo Yoga 7i,$980.00,"$1,040.00",3,"$3,120.00"
35,2025-05-09 17:49:02,Google,Tablet,Google Pixel Slate,$600.00,$647.00,4,"$2,588.00"
36,2024-12-16 17:49:02,Apple,Desktop,iMac 21.5 pulgadas,"$1,100.00","$1,148.00",3,"$3,444.00"
37,2025-03-13 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3060,$400.00,$464.00,4,"$1,856.00"
38,2025-06-16 17:49:02,Canon,Impresora,Canon Pixma G6020,$280.00,$330.00,4,"$1,320.00"
39,2025-01-08 17:49:02,Crucial,Componentes,Crucial MX500 SSD 1TB,$110.00,$182.00,4,$728.00
40,2025-04-27 17:49:02,Dell,Tablet,Dell Venue 8 Pro,$200.00,$249.00,2,$498.00
41,2024-12-09 17:49:02,AMD,Componente,AMD Radeon Pro W5700,$650.00,$720.00,1,$720.00
42,2024-09-12 17:49:02,Dell,Tablet,Dell Venue 8 Pro,$200.00,$274.00,3,$822.00
43,2025-01-06 17:49:02,Corsair,Accesorio,Corsair Scimitar,$80.00,$138.00,2,$276.00
44,2024-11-07 17:49:02,ASUS,Desktop,ASUS ExpertCenter,$630.00,$709.00,3,"$2,127.00"
45,2024-11-12 17:49:02,Brother,Impresora,Brother HL-L2350DW,$200.00,$261.00,2,$522.00
46,2024-12-08 17:49:02,Logitech,Accesorio,Logitech G502,$90.00,$162.00,2,$324.00
47,2025-03-06 17:49:02,HP,Impresora,HP LaserJet Pro MFP,$300.00,$368.00,4,"$1,472.00"
48,2024-11-10 17:49:02,Lenovo,Desktop,Lenovo ThinkCentre M720,$600.00,$675.00,2,"$1,350.00"
49,2024-12-22 17:49:02,HP,Tablet,HP Chromebook x2,$400.00,$475.00,2,$950.00
50,2024-08-08 17:49:02,Samsung,Componentes,Samsung 980 PRO SSD 1TB,$180.00,$253.00,5,"$1,265.00"
51,2025-06-12 17:49:02,Lenovo,Laptop,Lenovo Yoga 7i,$980.00,"$1,021.00",2,"$2,042.00"
52,2024-09-14 17:49:02,SteelSeries,Accesorio,SteelSeries Arctis 7,$150.00,$230.00,2,$460.00
53,2024-11-24 17:49:02,Intel,Componentes,Intel Optane Memory 32GB,$130.00,$210.00,2,$420.00
54,2024-12-10 17:49:02,Dell,Accesorio,Dell UltraSharp Webcam,$85.00,$142.00,2,$284.00
55,2024-12-25 17:49:02,Brother,Scanner,Brother DS-640,$110.00,$153.00,3,$459.00
56,2025-06-13 17:49:02,Crucial,Componentes,Crucial MX500 SSD 1TB,$110.00,$160.00,2,$320.00
57,2024-07-29 17:49:02,Canon,Scanner,Canon CanoScan LiDE,$100.00,$151.00,2,$302.00
58,2024-11-09 17:49:02,Epson,Impresora,Epson EcoTank ET-4760,$350.00,$403.00,4,"$1,612.00"
59,2024-07-25 17:49:02,AMD,Componente,AMD Radeon RX 6900 XT,"$1,000.00","$1,064.00",1,"$1,064.00"
60,2024-10-23 17:49:02,ASUS,Desktop,ASUS ExpertCenter,$630.00,$691.00,4,"$2,764.00"
61,2025-02-13 17:49:02,ASUS,Monitor,ASUS ProArt PA248Q,$350.00,$416.00,4,"$1,664.00"
62,2025-02-13 17:49:02,Razer,Accesorio,Razer Kraken Tournament,$130.00,$181.00,1,$181.00
63,2024-07-25 17:49:02,Apple,Laptop,MacBook Air,"$1,200.00","$1,265.00",1,"$1,265.00"
64,2024-12-09 17:49:02,Acer,Monitor,Acer R240HY,$200.00,$274.00,1,$274.00
65,2025-04-21 17:49:02,HP,Monitor,HP 24mh,$280.00,$323.00,3,$969.00
66,2025-03-11 17:49:02,Dell,Laptop,Dell XPS 13,"$1,050.00","$1,122.00",3,"$3,366.00"
67,2024-10-14 17:49:02,Samsung,Componentes,Samsung 980 PRO SSD 1TB,$180.00,$250.00,1,$250.00
68,2024-09-01 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3060,$400.00,$475.00,2,$950.00
69,2025-01-15 17:49:02,Microsoft,Accesorio,Microsoft LifeCam HD-3000,$70.00,$113.00,1,$113.00
70,2025-04-08 17:49:02,Logitech,Accesorio,Logitech Webcam C920,$80.00,$123.00,2,$246.00
71,2024-09-08 17:49:02,Samsung,Monitor,Samsung Odyssey G7,$450.00,$499.00,2,$998.00
72,2025-01-26 17:49:02,SteelSeries,Accesorio,SteelSeries Arctis 7,$150.00,$227.00,5,"$1,135.00"
73,2025-06-12 17:49:02,Netgear,Red,Netgear Nighthawk,$120.00,$161.00,1,$161.00
74,2025-05-04 17:49:02,AMD,Componente,AMD Radeon RX 6700 XT,$480.00,$539.00,5,"$2,695.00"
75,2025-06-21 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$264.00,3,$792.00
76,2025-05-30 17:49:02,Brother,Impresora,Brother HL-L2350DW,$200.00,$257.00,3,$771.00
77,2025-06-12 17:49:02,Acer,Laptop,Acer Aspire 5,$700.00,$747.00,4,"$2,988.00"
78,2025-06-02 17:49:02,HP,Desktop,HP ProDesk 400,$540.00,$584.00,4,"$2,336.00"
79,2025-03-22 17:49:02,Epson,Impresora,Epson EcoTank ET-4760,$350.00,$424.00,1,$424.00
80,2025-05-01 17:49:02,Logitech,Accesorio,Logitech MX Master 3,$100.00,$175.00,2,$350.00
81,2025-03-04 17:49:02,Seagate,Componentes,Seagate Barracuda 2TB HDD,$80.00,$156.00,1,$156.00
82,2025-04-15 17:49:02,AMD,Componente,AMD Radeon RX 6900 XT,"$1,000.00","$1,069.00",3,"$3,207.00"
83,2025-03-07 17:49:02,MSI,Laptop,MSI Modern 14,$950.00,$995.00,1,$995.00
84,2024-09-03 17:49:02,Samsung,Tablet,Samsung Galaxy Tab S7,$650.00,$700.00,3,"$2,100.00"
85,2025-05-31 17:49:02,HyperX,Accesorio,HyperX Cloud II,$100.00,$148.00,3,$444.00
86,2025-06-19 17:49:02,Lenovo,Laptop,Lenovo Yoga 7i,$980.00,"$1,022.00",2,"$2,044.00"
87,2024-08-09 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3070,$600.00,$641.00,4,"$2,564.00"
88,2025-04-04 17:49:02,HP,Laptop,HP Pavilion 14,$750.00,$806.00,2,"$1,612.00"
89,2025-04-21 17:49:02,Brother,Impresora,Brother HL-L2350DW,$200.00,$261.00,4,"$1,044.00"
90,2025-05-29 17:49:02,Acer,Desktop,Acer Veriton X,$550.00,$598.00,1,$598.00
91,2024-08-09 17:49:02,Corsair,Accesorio,Corsair K95 RGB,$150.00,$215.00,4,$860.00
92,2025-04-27 17:49:02,Huawei,Tablet,Huawei MatePad T10,$250.00,$296.00,1,$296.00
93,2024-10-24 17:49:02,ASUS,Desktop,ASUS ExpertCenter,$630.00,$697.00,2,"$1,394.00"
94,2025-03-12 17:49:02,Dell,Accesorio,Dell UltraSharp Webcam,$85.00,$153.00,2,$306.00
95,2025-03-16 17:49:02,AMD,Componente,AMD Radeon RX 6700 XT,$480.00,$550.00,2,"$1,100.00"
96,2024-10-13 17:49:02,Dell,Accesorio,Dell KM117 Wireless,$45.00,$122.00,1,$122.00
97,2025-06-17 17:49:02,HP,Laptop,HP Pavilion 14,$750.00,$814.00,4,"$3,256.00"
98,2025-06-16 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3060,$400.00,$441.00,1,$441.00
99,2024-09-04 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$285.00,2,$570.00
100,2025-03-14 17:49:02,HP,Monitor,HP 24mh,$280.00,$357.00,5,"$1,785.00"
101,2025-07-06 17:49:02,HyperX,Accesorio,HyperX Cloud II,$100.00,$147.00,2,$294.00
102,2024-10-03 17:49:02,Lenovo,Desktop,Lenovo ThinkCentre M720,$600.00,$676.00,2,"$1,352.00"
103,2024-11-03 17:49:02,Dell,Desktop,Dell Inspiron Desktop,$500.00,$580.00,4,"$2,320.00"
104,2024-12-22 17:49:02,Canon,Scanner,Canon CanoScan LiDE,$100.00,$157.00,3,$471.00
105,2024-11-19 17:49:02,Dell,Desktop,Dell OptiPlex 7070,$650.00,$698.00,2,"$1,396.00"
106,2025-01-01 17:49:02,Cisco,Red,Cisco RV340,$170.00,$229.00,5,"$1,145.00"
107,2024-08-29 17:49:02,Samsung,Monitor,Samsung Odyssey G7,$450.00,$492.00,2,$984.00
108,2025-05-22 17:49:02,TP-Link,Red,TP-Link Deco M5,$200.00,$262.00,3,$786.00
109,2024-08-25 17:49:02,Linksys,Red,Linksys Velop,$230.00,$288.00,2,$576.00
110,2025-04-09 17:49:02,Epson,Scanner,Epson Perfection V39,$90.00,$146.00,4,$584.00
111,2024-08-06 17:49:02,HP,Tablet,HP Chromebook x2,$400.00,$477.00,3,"$1,431.00"
112,2024-12-05 17:49:02,Samsung,Impresora,Samsung Xpress M2020W,$150.00,$199.00,2,$398.00
113,2024-09-07 17:49:02,HP,Desktop,HP EliteDesk 800,$680.00,$740.00,2,"$1,480.00"
114,2025-06-03 17:49:02,HP,Accesorio,HP Omen Gaming Mouse,$75.00,$127.00,5,$635.00
115,2024-12-20 17:49:02,Google,Tablet,Google Pixel Slate,$600.00,$669.00,1,$669.00
116,2024-10-13 17:49:02,Samsung,Componentes,Samsung 980 PRO SSD 1TB,$180.00,$244.00,2,$488.00
117,2025-01-06 17:49:02,Epson,Scanner,Epson Perfection V39,$90.00,$152.00,2,$304.00
118,2025-02-27 17:49:02,D-Link,Red,D-Link DIR-850L,$80.00,$156.00,2,$312.00
119,2025-02-19 17:49:02,Dell,Laptop,Dell XPS 13,"$1,050.00","$1,114.00",4,"$4,456.00"
120,2024-08-29 17:49:02,Logitech,Accesorio,Logitech MX Master 3,$100.00,$169.00,3,$507.00
121,2025-03-20 17:49:02,Logitech,Accesorio,Logitech MX Master 3,$100.00,$145.00,5,$725.00
122,2025-05-27 17:49:02,AMD,Componente,AMD Radeon RX 6900 XT,"$1,000.00","$1,062.00",1,"$1,062.00"
123,2024-12-14 17:49:02,HP,Laptop,HP Spectre x360,"$1,100.00","$1,179.00",3,"$3,537.00"
124,2025-05-22 17:49:02,Microsoft,Accesorio,Microsoft Sculpt Ergonomic,$130.00,$170.00,1,$170.00
125,2024-09-03 17:49:02,Lenovo,Desktop,Lenovo ThinkCentre M720,$600.00,$642.00,3,"$1,926.00"
126,2025-05-14 17:49:02,Brother,Scanner,Brother DS-640,$110.00,$163.00,3,$489.00
127,2025-01-07 17:49:02,Dell,Desktop,Dell OptiPlex 7070,$650.00,$723.00,2,"$1,446.00"
128,2024-08-19 17:49:02,Samsung,Componentes,Samsung 980 PRO SSD 1TB,$180.00,$241.00,4,$964.00
129,2024-07-22 17:49:02,ASUS,Laptop,ASUS VivoBook 15,$800.00,$840.00,5,"$4,200.00"
130,2024-07-17 17:49:02,Apple,Laptop,MacBook Air,"$1,200.00","$1,254.00",3,"$3,762.00"
131,2024-09-01 17:49:02,Brother,Scanner,Brother DS-640,$110.00,$178.00,3,$534.00
132,2024-08-09 17:49:02,Dell,Accesorio,Dell UltraSharp Webcam,$85.00,$140.00,3,$420.00
133,2025-02-22 17:49:02,Microsoft,Tablet,Surface Go 2,$550.00,$611.00,5,"$3,055.00"
134,2024-08-18 17:49:02,Cisco,Red,Cisco RV340,$170.00,$229.00,2,$458.00
135,2025-01-07 17:49:02,Canon,Impresora,Canon Pixma G6020,$280.00,$345.00,1,$345.00
136,2024-07-25 17:49:02,Logitech,Accesorio,Logitech G502,$90.00,$162.00,4,$648.00
137,2025-05-21 17:49:02,HP,Desktop,HP EliteDesk 800,$680.00,$753.00,1,$753.00
138,2025-05-06 17:49:02,TP-Link,Red,TP-Link Deco M5,$200.00,$278.00,4,"$1,112.00"
139,2025-06-25 17:49:02,Microsoft,Accesorio,Microsoft LifeCam HD-3000,$70.00,$136.00,5,$680.00
140,2024-09-22 17:49:02,Acer,Laptop,Acer Aspire 5,$700.00,$766.00,4,"$3,064.00"
141,2025-06-10 17:49:02,Seagate,Componentes,Seagate Barracuda 2TB HDD,$80.00,$133.00,5,$665.00
142,2024-12-31 17:49:02,Corsair,Accesorio,Corsair HS60,$90.00,$163.00,2,$326.00
143,2025-05-07 17:49:02,HP,Laptop,HP Spectre x360,"$1,100.00","$1,145.00",4,"$4,580.00"
144,2025-03-31 17:49:02,Canon,Scanner,Canon CanoScan LiDE,$100.00,$141.00,1,$141.00
145,2025-03-20 17:49:02,Lenovo,Desktop,Lenovo IdeaCentre 3,$560.00,$619.00,5,"$3,095.00"
146,2024-12-01 17:49:02,Logitech,Accesorio,Logitech G502,$90.00,$142.00,4,$568.00
147,2024-11-04 17:49:02,HP,Scanner,HP ScanJet Pro,$120.00,$184.00,1,$184.00
148,2025-04-25 17:49:02,Dell,Monitor,Dell UltraSharp 24,$300.00,$366.00,2,$732.00
149,2025-06-14 17:49:02,HP,Monitor,HP VH240a,$190.00,$247.00,2,$494.00
150,2024-12-01 17:49:02,SteelSeries,Accesorio,SteelSeries Arctis 7,$150.00,$225.00,3,$675.00
151,2025-01-14 17:49:02,Microsoft,Tablet,Surface Go 2,$550.00,$629.00,5,"$3,145.00"
152,2024-09-05 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3070,$600.00,$667.00,1,$667.00
153,2024-09-04 17:49:02,Epson,Impresora,Epson EcoTank ET-4760,$350.00,$417.00,3,"$1,251.00"
154,2024-07-22 17:49:02,Samsung,Monitor,Samsung Odyssey G7,$450.00,$526.00,5,"$2,630.00"
155,2024-09-04 17:49:02,D-Link,Red,D-Link DIR-850L,$80.00,$124.00,1,$124.00
156,2024-11-05 17:49:02,Samsung,Tablet,Samsung Galaxy Tab S7,$650.00,$700.00,4,"$2,800.00"
157,2024-07-16 17:49:02,Asus,Accesorio,Asus ROG Strix Scope,$110.00,$152.00,3,$456.00
158,2025-05-21 17:49:02,ASUS,Monitor,ASUS ProArt PA248Q,$350.00,$398.00,1,$398.00
159,2024-08-04 17:49:02,NVIDIA,Componente,NVIDIA Quadro P2200,$450.00,$526.00,5,"$2,630.00"
160,2024-07-17 17:49:02,Intel,Componentes,Intel Optane Memory 32GB,$130.00,$185.00,4,$740.00
161,2025-04-27 17:49:02,Brother,Scanner,Brother DS-640,$110.00,$167.00,4,$668.00
162,2024-10-13 17:49:02,ASUS,Monitor,ASUS ProArt PA248Q,$350.00,$399.00,3,"$1,197.00"
163,2025-05-14 17:49:02,Linksys,Red,Linksys EA7500,$100.00,$167.00,2,$334.00
164,2025-05-20 17:49:02,Samsung,Componentes,Samsung 980 PRO SSD 1TB,$180.00,$233.00,4,$932.00
165,2025-03-27 17:49:02,HyperX,Accesorio,HyperX Cloud II,$100.00,$173.00,4,$692.00
166,2025-05-17 17:49:02,ASUS,Desktop,ASUS ExpertCenter,$630.00,$688.00,5,"$3,440.00"
167,2024-10-08 17:49:02,Dell,Tablet,Dell Venue 8 Pro,$200.00,$272.00,1,$272.00
168,2025-06-07 17:49:02,Apple,Laptop,MacBook Air,"$1,200.00","$1,277.00",2,"$2,554.00"
169,2024-10-17 17:49:02,Logitech,Accesorio,Logitech G502,$90.00,$155.00,5,$775.00
170,2024-12-25 17:49:02,Corsair,Accesorio,Corsair HS60,$90.00,$165.00,3,$495.00
171,2024-10-03 17:49:02,Lenovo,Laptop,Lenovo ThinkPad E15,$900.00,$940.00,4,"$3,760.00"
172,2024-08-15 17:49:02,Canon,Scanner,Canon CanoScan LiDE,$100.00,$168.00,5,$840.00
173,2024-09-16 17:49:02,Apple,Laptop,MacBook Air,"$1,200.00","$1,248.00",2,"$2,496.00"
174,2025-07-05 17:49:02,Dell,Laptop,Dell Inspiron 15,$850.00,$922.00,5,"$4,610.00"
175,2024-07-09 17:49:02,Microsoft,Accesorio,Microsoft Sculpt Ergonomic,$130.00,$180.00,3,$540.00
176,2024-12-16 17:49:02,Dell,Desktop,Dell Inspiron Desktop,$500.00,$547.00,5,"$2,735.00"
177,2024-11-02 17:49:02,Acer,Monitor,Acer R240HY,$200.00,$244.00,1,$244.00
178,2025-01-26 17:49:02,ASUS,Desktop,ASUS ExpertCenter,$630.00,$696.00,1,$696.00
179,2024-09-18 17:49:02,Brother,Scanner,Brother DS-640,$110.00,$182.00,5,$910.00
180,2024-09-07 17:49:02,Netgear,Red,Netgear Nighthawk,$120.00,$183.00,2,$366.00
181,2025-01-30 17:49:02,Corsair,Accesorio,Corsair HS60,$90.00,$140.00,2,$280.00
182,2024-08-17 17:49:02,Samsung,Tablet,Samsung Galaxy Tab S7,$650.00,$730.00,4,"$2,920.00"
183,2024-08-20 17:49:02,HP,Impresora,HP LaserJet Pro MFP,$300.00,$350.00,5,"$1,750.00"
184,2025-03-06 17:49:02,Dell,Laptop,Dell Inspiron 15,$850.00,$927.00,5,"$4,635.00"
185,2024-07-27 17:49:02,HP,Accesorio,HP Omen Gaming Mouse,$75.00,$131.00,2,$262.00
186,2024-10-14 17:49:02,NVIDIA,Componente,NVIDIA Quadro P2200,$450.00,$494.00,3,"$1,482.00"
187,2025-02-24 17:49:02,Lenovo,Desktop,Lenovo ThinkCentre M720,$600.00,$650.00,5,"$3,250.00"
188,2025-06-03 17:49:02,Amazon,Tablet,Fire HD 10,$150.00,$216.00,5,"$1,080.00"
189,2025-06-25 17:49:02,Western Digital,Componentes,WD Blue 1TB HDD,$60.00,$103.00,2,$206.00
190,2025-05-25 17:49:02,Cisco,Red,Cisco RV340,$170.00,$230.00,2,$460.00
191,2024-12-08 17:49:02,NVIDIA,Componente,NVIDIA GeForce GTX 1660 Super,$250.00,$312.00,1,$312.00
192,2024-09-06 17:49:02,ASUS,Tablet,Asus ZenPad 10,$350.00,$397.00,1,$397.00
193,2024-12-12 17:49:02,Logitech,Accesorio,Logitech Webcam C920,$80.00,$160.00,5,$800.00
194,2025-01-25 17:49:02,Crucial,Componentes,Crucial MX500 SSD 1TB,$110.00,$164.00,3,$492.00
195,2024-11-23 17:49:02,Samsung,Componentes,Samsung 970 EVO SSD 1TB,$150.00,$191.00,2,$382.00
196,2025-02-08 17:49:02,Lenovo,Desktop,Lenovo IdeaCentre 3,$560.00,$627.00,1,$627.00
197,2024-07-30 17:49:02,HP,Desktop,HP ProDesk 400,$540.00,$610.00,2,"$1,220.00"
198,2025-01-20 17:49:02,ASUS,Laptop,ASUS VivoBook 15,$800.00,$848.00,4,"$3,392.00"
199,2025-03-09 17:49:02,Google,Tablet,Google Pixel Slate,$600.00,$677.00,4,"$2,708.00"
200,2025-06-02 17:49:02,Apple,Desktop,iMac 21.5 pulgadas,"$1,100.00","$1,142.00",1,"$1,142.00"
